TIME,Pass_ID,Time since ball possession change,Time to next ball possession change,Pressure on the ball (d1=9.0; d2=3.0; p=1.75),Pressure on the offense team (d1=9.0; d2=3.0; p=1.75),Threat to the defense goal from the offense team (maxD=35.0; r=1.5),Potential threat to the offense goal from the defense team (maxD=35.0; r=1.5),Ball distance to the defense goal,left-right,back-front,change,team,tsne_y_5000,tsne_x_5000,color_tsne_5000,id,Y,k,order
48:49.7,38,0.512995896,0.044621888,0.067479873,0.596013991,0.52845082,0,0.350333016,0.549437436,0.458894204,0,1,-0.84305274,39.299896,#9b0f75,3672,-25,0,0
48:49.8,38,0.513907889,0.04368248,0.051768724,0.590457156,0.523040451,0,0.355375833,0.538356631,0.455000556,0,1,-0.7856643,39.258465,#9b0f76,3673,-24,0,0
48:49.8,38,0.514819881,0.042743072,0.03820444,0.580865906,0.518640193,0,0.360038059,0.527616775,0.45144065,0,1,-0.7411982,39.216106,#9b0f76,3674,-23,0,0
48:49.9,38,0.515731874,0.041803664,0.027470115,0.569000785,0.514419842,0,0.364319696,0.517217866,0.448325731,0,1,-0.7082664,39.175755,#9b0f76,3675,-22,0,0
48:50.0,38,0.516643867,0.040864256,0.018980239,0.555402446,0.507274107,0,0.368601332,0.508182748,0.445210813,0,1,-0.6862926,39.131844,#9b0f76,3676,-21,0,0
48:50.1,38,0.51755586,0.039924847,0.012637229,0.537303208,0.4960973,0,0.372407231,0.499318104,0.44265213,0,1,-0.67467713,39.07765,#9b0f76,3677,-20,0,0
48:50.2,38,0.518467852,0.038985439,0.008489876,0.518120708,0.48535902,0,0.376022835,0.491135356,0.440315942,0,1,-0.6671264,39.0293,#9b0f76,3678,-19,0,0
48:50.2,38,0.519379845,0.038046031,0.00531837,0.499353947,0.475342248,0,0.379543292,0.483634504,0.437868506,0,1,-0.6616671,38.989967,#9b0f76,3679,-18,0,0
48:50.3,38,0.520291838,0.037106623,0.003317882,0.479525395,0.463472044,0,0.382683159,0.476304125,0.435977306,0,1,-0.6602055,38.951904,#9b0f76,3680,-17,0,0
48:50.4,38,0.52120383,0.036167215,0.001805318,0.464900399,0.454530973,0,0.385823026,0.469655643,0.433974858,0,1,-0.65559936,38.92707,#9b0f76,3681,-16,0,0
48:50.5,38,0.522115823,0.035227806,0.00102464,0.452119873,0.445691101,0,0.388772598,0.463859529,0.432083658,0,1,-0.6515705,38.906376,#9a0f76,3682,-15,0,0
48:50.6,38,0.523027816,0.034288398,0.000683093,0.437272369,0.437190431,0,0.392293054,0.461302421,0.429524975,0,1,-0.6487378,38.89158,#9a0f76,3683,-14,0,0
48:50.6,38,0.523939808,0.03334899,0,0.424310324,0.428479868,0,0.401236917,0.472724173,0.420513962,0,1,-0.6476958,38.900257,#9a0f76,3684,-13,0,0
48:50.7,38,0.524851801,0.032409582,0.000536716,0.414277963,0.420144114,0,0.401807802,0.472553699,0.421403938,0,1,-0.6518306,38.88672,#9a0f76,3685,-12,0,0
48:50.8,38,0.525763794,0.031470174,0.002878751,0.405475249,0.412794108,0,0.401998097,0.475281282,0.422405162,0,1,-0.6615921,38.87521,#9b0f76,3686,-11,0,0
48:50.9,38,0.526675787,0.030530766,0.006294218,0.400300971,0.402574938,0,0.40190295,0.47476986,0.423962621,0,1,-0.6748075,38.85677,#9b0f76,3687,-10,0,0
48:51.0,38,0.527587779,0.029591357,0.011222249,0.394466977,0.400850817,0,0.40190295,0.47562223,0.425297586,0,1,-0.6850161,38.84614,#9b0f76,3688,-9,0,0
48:51.0,38,0.528499772,0.028651949,0.017467675,0.389222433,0.409924944,0,0.402188392,0.477156495,0.42629881,0,1,-0.6892266,38.84641,#9b0f76,3689,-8,0,0
48:51.1,38,0.529411765,0.027712541,0.026884606,0.383353307,0.417762202,0,0.402188392,0.477497443,0.427633775,0,1,-0.6981507,38.83918,#9b0f76,3690,-7,0,0
48:51.2,38,0.530323757,0.026773133,0.038058063,0.377646182,0.424208919,0,0.401712655,0.476304125,0.429636222,0,1,-0.7107628,38.82594,#9b0f76,3691,-6,0,0
48:51.3,38,0.53123575,0.025833725,0.051134423,0.368347705,0.434508672,0,0.400856327,0.475110808,0.431972411,0,1,-0.72044533,38.813408,#9b0f76,3692,-5,0,0
48:51.4,38,0.532147743,0.024894317,0.066308856,0.360639963,0.444025075,0,0.399904853,0.473917491,0.434419846,0,1,-0.73472774,38.796776,#9b0f76,3693,-4,0,0
48:51.4,38,0.533059736,0.023954908,0.083922908,0.353373333,0.439319347,0,0.399048525,0.473747017,0.436756035,0,1,-0.7713156,38.75818,#9b0f76,3694,-3,0,0
48:51.5,38,0.533971728,0.0230155,0.107636009,0.350683723,0.429336307,0,0.39885823,0.481588817,0.438202247,0,1,-0.84211916,38.707245,#9b0f75,3695,-2,0,0
48:51.6,38,0.534883721,0.022076092,0.126030739,0.351866527,0.419733698,0,0.397050428,0.474940334,0.44153966,0,1,-0.8970629,38.649975,#9c0f75,3696,-1,0,0
48:51.7,38,0.535795714,0.021136684,0.148133691,0.354895753,0.410725162,0,0.393244529,0.462495738,0.447213261,0,1,-0.9608796,38.57435,#9c0f75,3697,0,0,0
48:51.8,38,0.536707706,0.020197276,0.195755062,0.357343337,0.401868423,0,0.385156993,0.455506308,0.457781733,0,1,-1.1028074,38.431858,#9c0f74,3698,1,0,0
48:51.8,38,0.537619699,0.019257868,0.296657721,0.35954304,0.392985448,0,0.370980019,0.451073986,0.475581266,0,1,-1.381883,38.130558,#9e0f73,3699,2,0,0
48:51.9,38,0.538531692,0.018318459,0.147157843,0.365968435,0.38421679,0,0.356803045,0.443402659,0.493380799,0,1,-1.1272777,38.409,#9c0f74,3700,3,0,0
48:52.0,38,0.539443684,0.017379051,0.051036838,0.372860316,0.375985982,0,0.34300666,0.437095124,0.510624096,0,1,-0.9461661,38.55221,#9c0f75,3701,4,0,0
48:52.1,38,0.540355677,0.016439643,0.101146621,0.384838643,0.367820766,0,0.330161751,0.431639959,0.526754923,0,1,-1.1381934,38.36631,#9c0f74,3702,5,0,0
48:52.2,38,0.54126767,0.015500235,0.170090266,0.401536474,0.360410791,0,0.320551855,0.428400955,0.538992101,0,1,-1.3633214,38.12572,#9d0f73,3703,6,0,0
48:52.2,38,0.542179663,0.014560827,0.199951208,0.428253003,0.352640998,0,0.317697431,0.429253324,0.543441985,0,1,-1.479047,37.970825,#9e0f72,3704,7,0,0
48:52.3,38,0.543091655,0.013621419,0.209221761,0.430478079,0.346027492,0,0.317982873,0.429423798,0.544109467,0,1,-1.5125189,37.933567,#9e0f72,3705,8,0,0
48:52.4,38,0.544003648,0.01268201,0.217418883,0.431975126,0.340770795,0,0.318268316,0.429594272,0.544665703,0,1,-1.5407784,37.903057,#9e0f72,3706,9,0,0
48:52.5,38,0.544915641,0.011742602,0.224542571,0.431612087,0.335692132,0,0.318363463,0.430105694,0.545444432,0,1,-1.5678327,37.880146,#9e0f72,3707,10,0,0
48:52.6,38,0.545827633,0.010803194,0.231227129,0.431161217,0.331773503,0,0.318648906,0.430276168,0.54588942,0,1,-1.5893685,37.860683,#9e0f72,3708,11,0,0
48:52.6,38,0.546739626,0.009863786,0.159453525,0.41104965,0.327823015,0,0.319695528,0.498124787,0.545444432,0,1,-1.7328641,38.151054,#9f0f71,3709,12,0,0
