Pass_ID,longitude,latitude,altitude,angle,speed,odometer,timedelta,d1,d2,d3,e2,e3,tsne_x_5000,tsne_y_5000,color_tsne_5000,id,Y,k,order
25,0.624381001,0.493141194,0.067538126,0.222841226,0.268041237,0.003777933,0.000264922,0,1,0,0,0,65.42595,1.6037008,#1e81e9,0,0,0,0
25,0.622405962,0.492981974,0.047225426,0.3177126,0.198302001,0.111143458,0.013945737,0,0.941176471,0,0,0,64.89878,3.5170887,#1e7ce9,1,-1,0,0
25,0.621231566,0.493046304,0.035947712,0.518344608,0.082768778,0.03906113,0.00792974,0,0.342857143,0,0,0,43.777378,5.7244744,#387bd9,2,-2,0,0
25,0.621378383,0.49176578,0.034313725,0.728412256,0.31185567,0.143325337,0.011280111,0,0,0,0,0,0.5628875,2.322711,#a9967e,3,-3,0,0
25,0.621062216,0.489710554,0.015960974,0.342497275,0.251008516,0.089602717,0.007673046,0,0,0.347826087,0,0,20.684925,5.011765,#798baf,4,-4,0,0
25,0.620262269,0.487746134,0.006207421,0.234381218,0.320896744,0.202389273,0.014973972,0.825396825,0,0.174603175,0,0,-50.57119,-3.1824713,#ec8902,5,-5,0,0
25,0.627185758,0.492981052,0.082375479,0.281913361,0.366868112,0.047614984,0.002659319,0,0.931034483,0,0,0,63.5516,1.3582591,#1e81e8,6,1,0,0
25,0.630237861,0.492253626,0.093370682,0.294468762,0.315169367,0.226001355,0.01321225,0.285714286,0,0,0,0,-43.514225,-0.010721391,#e98306,7,2,0,0
25,0.631293424,0.491058519,0.093863471,0.553853296,0.254295533,0.063280379,0.005609845,1,0,0,0,0,-53.876278,-0.9862842,#ee8502,8,3,0,0
25,0.632029747,0.489890329,0.082563294,0.23965037,0.253821543,0.081225561,0.007803907,0,0,0,0,0,-21.178635,6.144816,#d38242,9,4,0,0
25,0.632705595,0.489699394,0.091212062,0.301552718,0.199550883,0.05538319,0.01561357,0,0,0,0,0,-19.62164,7.141797,#d17f47,10,5,0,0
32,0.625451017,0.493103958,0.077342048,0.77994429,0.340206186,0.025028807,0.00165925,0,1,0,0,0,57.274166,11.016985,#1f68e8,11,0,0,103
32,0.628836316,0.492572429,0.084604212,0.792014856,0.316151203,0.107513679,0.006121098,0,0,0.666666667,0,0,27.08746,4.9607716,#6889bd,12,-1,0,103
32,0.631276486,0.491920703,0.098402324,0.795728877,0.23024055,0.018810959,0.001798683,0,0,0.166666667,0,0,23.275702,10.220563,#7378b6,13,-2,0,103
32,0.631114712,0.490151524,0.07480029,0.360259981,0.209621993,0.004722416,0.000636743,0,0,0.333333333,0,0,20.888102,5.474491,#7889b0,14,-3,0,103
32,0.632863444,0.489462471,0.093681917,0.857938719,0.164948454,0.002361208,0.000264922,0,0,1,0,0,27.496557,3.1606982,#668fbd,15,-4,0,103
32,0.633366474,0.489362754,0.096949891,0.792339833,0.013917526,0.008405901,0.023564137,0,0,0,0.55,0,-2.4093645,38.9092,#9e136e,16,-5,0,103
32,0.622843752,0.492994014,0.05204551,0.805013928,0.32187858,0.138734099,0.009033694,0,0,1,0,0,27.809362,2.41667,#6591bd,17,1,0,103
32,0.621174893,0.492809503,0.03842345,0.479868321,0.139643861,0.003692071,0.000518436,0,0,0.909090909,0,0,24.334944,2.378792,#6e93b6,18,2,0,103
32,0.620992992,0.490543965,0.017429194,0.56545961,0.278350515,0.014639491,0.001101519,0,0,1,0,0,25.881544,1.9829121,#6a93b9,19,3,0,103
32,0.620435985,0.487906239,0.005917013,0.548429982,0.356373008,0.124564464,0.007331628,0,0,1,0,0,26.02846,1.41103,#6995b9,20,4,0,103
32,0.619780999,0.485272843,0.012708787,0.714948932,0.264604811,0.022982426,0.001566295,0.666666667,0,0,0,0,-53.705055,6.1595564,#f07403,21,5,0,103
97,0.641451579,0.52474821,0.016339869,0.206128134,0.164948454,0.166229056,0.012535005,0,1,0,0,0,66.35941,1.9622391,#1e80e9,44,0,0,132
97,0.639780986,0.523950916,0.014342774,0.158774373,0.130584192,0.051474338,0.021365747,0,0,0,0,0,-25.33235,8.94838,#da7536,45,-1,0,132
97,0.639642473,0.523576363,0.010711692,0.091922006,0.158075601,0.025028807,0.006492919,0,0,0,0,0,-27.46967,8.846702,#dc7430,46,-2,0,132
97,0.639860443,0.523109815,0.010620915,0.82764624,0.18878866,0.108143335,0.014661355,0.4375,0,0,0,0,-52.48323,8.437017,#f16f03,47,-3,0,132
97,0.641252533,0.522504754,0.01375989,0.795484533,0.344546934,0.082269464,0.004770802,0.368421053,0,0.631578947,0,0,29.262339,5.735839,#6285c1,48,-4,0,132
97,0.643349514,0.521826259,0.011029412,0.876740947,0.096649485,0.00572593,0.000996944,0,0,0,0,0,8.392116,18.928513,#975b93,49,-5,0,132
97,0.64030794,0.525814196,0.013212453,0.857130021,0.259394746,0.091508242,0.007902239,0.290322581,0,0.709677419,0,0,28.891161,5.286546,#6387c0,50,1,0,132
97,0.639241362,0.527278368,0.026564421,0.900769464,0.308665918,0.142640353,0.014070146,0,0,0.504950495,0,0,26.71837,6.6856246,#6983bc,51,2,0,132
