TIME,Pass_ID,Time since ball possession change,Time to next ball possession change,Pressure on the ball (d1=9.0; d2=3.0; p=1.75),Pressure on the offense team (d1=9.0; d2=3.0; p=1.75),Threat to the defense goal from the offense team (maxD=35.0; r=1.5),Potential threat to the offense goal from the defense team (maxD=35.0; r=1.5),Ball distance to the defense goal,left-right,back-front,tsne_x,tsne_y,color_tsne,ae3_x,ae3_y,color_ae3,tsne_y_5000,tsne_x_5000,color_tsne_5000,id,Y,k,order
57:20.3,145,0.144808743,0.283102493,0.270677598,0.088412412,0,0,0.673208191,0.564228441,0.344424985,-15.253424,-43.768246,#abc556,0.17933697,2.447445,#8ca597,6.769068,0.22918537,#716bb8,5100,-25,0,0
57:20.4,145,0.145901639,0.28199446,0.325174825,0.08897017,0,0,0.662862628,0.550319097,0.360478692,-15.233775,-43.83913,#abc556,0.18828857,2.5019336,#8aa29a,6.7284575,0.31911498,#726ab8,5101,-24,0,0
57:20.4,145,0.146994536,0.280886427,0.342536774,0.086599143,0,0,0.652837031,0.536246114,0.376094571,-15.222618,-43.86713,#abc556,0.20071888,2.494547,#87a29d,6.710721,0.35519886,#726ab8,5102,-23,0,0
57:20.5,145,0.148087432,0.279778393,0.272244996,0.084939202,0,0,0.643877986,0.523318606,0.390396964,-15.201876,-43.81351,#abc556,0.2209293,2.3611176,#7fa9a1,6.741238,0.40517393,#7169b8,5103,-22,0,0
57:20.6,145,0.149180328,0.27867036,0.029961418,0.082512622,0,0,0.635345563,0.511045655,0.404115587,-9.281915,-36.549286,#a7bd65,0.2575494,1.9729828,#6cbda3,6.088151,1.7339846,#755fb4,5104,-21,0,0
57:20.7,145,0.150273224,0.277562327,0,0.078403879,0,0,0.627026451,0.499263623,0.417542323,-9.28119,-36.775505,#a7be65,0.27255437,1.8964897,#65c1a6,6.1039085,1.9743028,#755db4,5105,-20,0,0
57:20.8,145,0.15136612,0.276454294,0,0.075503982,0,0,0.619453925,0.488954345,0.429655575,-9.299516,-36.97737,#a7be65,0.28329626,1.8698422,#61c2a8,6.129266,2.1375651,#755bb4,5106,-19,0,0
57:20.8,145,0.152459016,0.27534626,0,0.07398848,0,0,0.612201365,0.479135984,0.441185055,-9.347279,-37.192795,#a7be65,0.29365963,1.8469927,#5ec2aa,6.157109,2.2868807,#745ab4,5107,-18,0,0
57:20.9,145,0.153551913,0.274238227,0,0.07665283,0,0,0.605375427,0.469808542,0.451838879,-9.222466,-37.447613,#a7bf65,0.30380574,1.8336066,#5ac3ac,6.1702294,2.4328449,#7459b4,5108,-17,0,0
57:21.0,145,0.154644809,0.273130194,0,0.084590326,0,0,0.599082765,0.462117493,0.461617046,-9.344195,-37.688553,#a7bf64,0.3130277,1.8350908,#57c2ae,6.15807,2.5609288,#7457b4,5109,-16,0,0
